"Notes"	"Year"	"Year Code"	"Residence State"	"Residence State Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"2019"	"2019"	"Minnesota"	"27"	"Male"	"M"	"65-74 years"	"65-74"	4685	255839	1831.2
	"2019"	"2019"	"Minnesota"	"27"	"Male"	"M"	"75-84 years"	"75-84"	5760	119359	4825.8
	"2019"	"2019"	"Minnesota"	"27"	"Male"	"M"	"85+ years"	"85+"	6597	44007	14990.8
	"2019"	"2019"	"Minnesota"	"27"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"Mississippi"	"28"	"Female"	"F"	"< 1 year"	"1"	134	17384	770.8
	"2019"	"2019"	"Mississippi"	"28"	"Female"	"F"	"1-4 years"	"1-4"	27	72907	37.0
	"2019"	"2019"	"Mississippi"	"28"	"Female"	"F"	"5-14 years"	"5-14"	42	194052	21.6
	"2019"	"2019"	"Mississippi"	"28"	"Female"	"F"	"15-24 years"	"15-24"	121	197878	61.1
	"2019"	"2019"	"Mississippi"	"28"	"Female"	"F"	"25-34 years"	"25-34"	236	198167	119.1
	"2019"	"2019"	"Mississippi"	"28"	"Female"	"F"	"35-44 years"	"35-44"	434	188254	230.5
	"2019"	"2019"	"Mississippi"	"28"	"Female"	"F"	"45-54 years"	"45-54"	866	187697	461.4
	"2019"	"2019"	"Mississippi"	"28"	"Female"	"F"	"55-64 years"	"55-64"	2074	202711	1023.1
	"2019"	"2019"	"Mississippi"	"28"	"Female"	"F"	"65-74 years"	"65-74"	2956	155893	1896.2
	"2019"	"2019"	"Mississippi"	"28"	"Female"	"F"	"75-84 years"	"75-84"	3929	83784	4689.4
	"2019"	"2019"	"Mississippi"	"28"	"Female"	"F"	"85+ years"	"85+"	4823	35130	13729.0
	"2019"	"2019"	"Mississippi"	"28"	"Female"	"F"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2019"	"2019"	"Mississippi"	"28"	"Male"	"M"	"< 1 year"	"1"	188	18134	1036.7
	"2019"	"2019"	"Mississippi"	"28"	"Male"	"M"	"1-4 years"	"1-4"	33	75053	44.0
	"2019"	"2019"	"Mississippi"	"28"	"Male"	"M"	"5-14 years"	"5-14"	56	201607	27.8
	"2019"	"2019"	"Mississippi"	"28"	"Male"	"M"	"15-24 years"	"15-24"	316	204989	154.2
	"2019"	"2019"	"Mississippi"	"28"	"Male"	"M"	"25-34 years"	"25-34"	489	195580	250.0
	"2019"	"2019"	"Mississippi"	"28"	"Male"	"M"	"35-44 years"	"35-44"	753	177500	424.2
	"2019"	"2019"	"Mississippi"	"28"	"Male"	"M"	"45-54 years"	"45-54"	1325	174343	760.0
	"2019"	"2019"	"Mississippi"	"28"	"Male"	"M"	"55-64 years"	"55-64"	3155	183200	1722.2
	"2019"	"2019"	"Mississippi"	"28"	"Male"	"M"	"65-74 years"	"65-74"	4213	133062	3166.2
	"2019"	"2019"	"Mississippi"	"28"	"Male"	"M"	"75-84 years"	"75-84"	4049	61656	6567.1
	"2019"	"2019"	"Mississippi"	"28"	"Male"	"M"	"85+ years"	"85+"	2743	17168	15977.4
	"2019"	"2019"	"Mississippi"	"28"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2019"	"2019"	"Missouri"	"29"	"Female"	"F"	"< 1 year"	"1"	183	34667	527.9
	"2019"	"2019"	"Missouri"	"29"	"Female"	"F"	"1-4 years"	"1-4"	39	144831	26.9
	"2019"	"2019"	"Missouri"	"29"	"Female"	"F"	"5-14 years"	"5-14"	48	376046	12.8
	"2019"	"2019"	"Missouri"	"29"	"Female"	"F"	"15-24 years"	"15-24"	206	388321	53.0
	"2019"	"2019"	"Missouri"	"29"	"Female"	"F"	"25-34 years"	"25-34"	407	409992	99.3
	"2019"	"2019"	"Missouri"	"29"	"Female"	"F"	"35-44 years"	"35-44"	648	378722	171.1
	"2019"	"2019"	"Missouri"	"29"	"Female"	"F"	"45-54 years"	"45-54"	1310	371755	352.4
	"2019"	"2019"	"Missouri"	"29"	"Female"	"F"	"55-64 years"	"55-64"	3358	428750	783.2
	"2019"	"2019"	"Missouri"	"29"	"Female"	"F"	"65-74 years"	"65-74"	5328	325644	1636.1
	"2019"	"2019"	"Missouri"	"29"	"Female"	"F"	"75-84 years"	"75-84"	7417	179201	4138.9
	"2019"	"2019"	"Missouri"	"29"	"Female"	"F"	"85+ years"	"85+"	11100	86837	12782.6
	"2019"	"2019"	"Missouri"	"29"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"Missouri"	"29"	"Male"	"M"	"< 1 year"	"1"	250	36345	687.9
	"2019"	"2019"	"Missouri"	"29"	"Male"	"M"	"1-4 years"	"1-4"	43	152237	28.2
	"2019"	"2019"	"Missouri"	"29"	"Male"	"M"	"5-14 years"	"5-14"	75	393494	19.1
	"2019"	"2019"	"Missouri"	"29"	"Male"	"M"	"15-24 years"	"15-24"	568	406148	139.9
	"2019"	"2019"	"Missouri"	"29"	"Male"	"M"	"25-34 years"	"25-34"	940	415895	226.0
	"2019"	"2019"	"Missouri"	"29"	"Male"	"M"	"35-44 years"	"35-44"	1249	375017	333.1
	"2019"	"2019"	"Missouri"	"29"	"Male"	"M"	"45-54 years"	"45-54"	2154	361189	596.4
	"2019"	"2019"	"Missouri"	"29"	"Male"	"M"	"55-64 years"	"55-64"	5273	401982	1311.8
	"2019"	"2019"	"Missouri"	"29"	"Male"	"M"	"65-74 years"	"65-74"	7093	284521	2493.0
	"2019"	"2019"	"Missouri"	"29"	"Male"	"M"	"75-84 years"	"75-84"	7784	139140	5594.4
	"2019"	"2019"	"Missouri"	"29"	"Male"	"M"	"85+ years"	"85+"	6928	46694	14837.0
	"2019"	"2019"	"Missouri"	"29"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"Montana"	"30"	"Female"	"F"	"< 1 year"	"1"	20	5686	351.7
	"2019"	"2019"	"Montana"	"30"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	24196	Suppressed
	"2019"	"2019"	"Montana"	"30"	"Female"	"F"	"5-14 years"	"5-14"	10	62771	Unreliable
	"2019"	"2019"	"Montana"	"30"	"Female"	"F"	"15-24 years"	"15-24"	44	64756	67.9
	"2019"	"2019"	"Montana"	"30"	"Female"	"F"	"25-34 years"	"25-34"	64	67129	95.3
	"2019"	"2019"	"Montana"	"30"	"Female"	"F"	"35-44 years"	"35-44"	105	63306	165.9
	"2019"	"2019"	"Montana"	"30"	"Female"	"F"	"45-54 years"	"45-54"	190	58447	325.1
	"2019"	"2019"	"Montana"	"30"	"Female"	"F"	"55-64 years"	"55-64"	497	76993	645.5
	"2019"	"2019"	"Montana"	"30"	"Female"	"F"	"65-74 years"	"65-74"	820	62678	1308.3
	"2019"	"2019"	"Montana"	"30"	"Female"	"F"	"75-84 years"	"75-84"	1210	30760	3933.7
	"2019"	"2019"	"Montana"	"30"	"Female"	"F"	"85+ years"	"85+"	1869	13990	13359.5
	"2019"	"2019"	"Montana"	"30"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"Montana"	"30"	"Male"	"M"	"< 1 year"	"1"	34	5973	569.2
	"2019"	"2019"	"Montana"	"30"	"Male"	"M"	"1-4 years"	"1-4"	10	25301	Unreliable
	"2019"	"2019"	"Montana"	"30"	"Male"	"M"	"5-14 years"	"5-14"	14	66534	Unreliable
	"2019"	"2019"	"Montana"	"30"	"Male"	"M"	"15-24 years"	"15-24"	80	71135	112.5
	"2019"	"2019"	"Montana"	"30"	"Male"	"M"	"25-34 years"	"25-34"	124	71257	174.0
	"2019"	"2019"	"Montana"	"30"	"Male"	"M"	"35-44 years"	"35-44"	193	66489	290.3
	"2019"	"2019"	"Montana"	"30"	"Male"	"M"	"45-54 years"	"45-54"	305	59353	513.9
	"2019"	"2019"	"Montana"	"30"	"Male"	"M"	"55-64 years"	"55-64"	738	73015	1010.8
	"2019"	"2019"	"Montana"	"30"	"Male"	"M"	"65-74 years"	"65-74"	1251	61953	2019.3
	"2019"	"2019"	"Montana"	"30"	"Male"	"M"	"75-84 years"	"75-84"	1426	28191	5058.4
	"2019"	"2019"	"Montana"	"30"	"Male"	"M"	"85+ years"	"85+"	1395	8865	15736.0
	"2019"	"2019"	"Montana"	"30"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"Nebraska"	"31"	"Female"	"F"	"< 1 year"	"1"	59	12319	478.9
	"2019"	"2019"	"Nebraska"	"31"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	51237	Suppressed
	"2019"	"2019"	"Nebraska"	"31"	"Female"	"F"	"5-14 years"	"5-14"	22	129926	16.9
	"2019"	"2019"	"Nebraska"	"31"	"Female"	"F"	"15-24 years"	"15-24"	45	130838	34.4
	"2019"	"2019"	"Nebraska"	"31"	"Female"	"F"	"25-34 years"	"25-34"	78	123692	63.1
	"2019"	"2019"	"Nebraska"	"31"	"Female"	"F"	"35-44 years"	"35-44"	153	119261	128.3
	"2019"	"2019"	"Nebraska"	"31"	"Female"	"F"	"45-54 years"	"45-54"	340	106547	319.1
	"2019"	"2019"	"Nebraska"	"31"	"Female"	"F"	"55-64 years"	"55-64"	786	122534	641.5
	"2019"	"2019"	"Nebraska"	"31"	"Female"	"F"	"65-74 years"	"65-74"	1261	93413	1349.9
	"2019"	"2019"	"Nebraska"	"31"	"Female"	"F"	"75-84 years"	"75-84"	1988	50562	3931.8
	"2019"	"2019"	"Nebraska"	"31"	"Female"	"F"	"85+ years"	"85+"	3709	27630	13423.8
	"2019"	"2019"	"Nebraska"	"31"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"Nebraska"	"31"	"Male"	"M"	"< 1 year"	"1"	66	12933	510.3
	"2019"	"2019"	"Nebraska"	"31"	"Male"	"M"	"1-4 years"	"1-4"	16	54391	Unreliable
	"2019"	"2019"	"Nebraska"	"31"	"Male"	"M"	"5-14 years"	"5-14"	19	136370	Unreliable
	"2019"	"2019"	"Nebraska"	"31"	"Male"	"M"	"15-24 years"	"15-24"	112	137358	81.5
	"2019"	"2019"	"Nebraska"	"31"	"Male"	"M"	"25-34 years"	"25-34"	178	131646	135.2
	"2019"	"2019"	"Nebraska"	"31"	"Male"	"M"	"35-44 years"	"35-44"	231	123878	186.5
	"2019"	"2019"	"Nebraska"	"31"	"Male"	"M"	"45-54 years"	"45-54"	498	109261	455.8
	"2019"	"2019"	"Nebraska"	"31"	"Male"	"M"	"55-64 years"	"55-64"	1174	119759	980.3
	"2019"	"2019"	"Nebraska"	"31"	"Male"	"M"	"65-74 years"	"65-74"	1756	85495	2053.9
	"2019"	"2019"	"Nebraska"	"31"	"Male"	"M"	"75-84 years"	"75-84"	2148	39930	5379.4
	"2019"	"2019"	"Nebraska"	"31"	"Male"	"M"	"85+ years"	"85+"	2326	15428	15076.5
	"2019"	"2019"	"Nebraska"	"31"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"Nevada"	"32"	"Female"	"F"	"< 1 year"	"1"	86	17438	493.2
	"2019"	"2019"	"Nevada"	"32"	"Female"	"F"	"1-4 years"	"1-4"	16	73196	Unreliable
	"2019"	"2019"	"Nevada"	"32"	"Female"	"F"	"5-14 years"	"5-14"	18	191765	Unreliable
	"2019"	"2019"	"Nevada"	"32"	"Female"	"F"	"15-24 years"	"15-24"	77	177453	43.4
	"2019"	"2019"	"Nevada"	"32"	"Female"	"F"	"25-34 years"	"25-34"	144	221212	65.1
	"2019"	"2019"	"Nevada"	"32"	"Female"	"F"	"35-44 years"	"35-44"	292	202851	143.9
	"2019"	"2019"	"Nevada"	"32"	"Female"	"F"	"45-54 years"	"45-54"	625	194914	320.7
	"2019"	"2019"	"Nevada"	"32"	"Female"	"F"	"55-64 years"	"55-64"	1405	194054	724.0
	"2019"	"2019"	"Nevada"	"32"	"Female"	"F"	"65-74 years"	"65-74"	2359	158621	1487.2
	"2019"	"2019"	"Nevada"	"32"	"Female"	"F"	"75-84 years"	"75-84"	2988	77657	3847.7
	"2019"	"2019"	"Nevada"	"32"	"Female"	"F"	"85+ years"	"85+"	3275	26168	12515.3
	"2019"	"2019"	"Nevada"	"32"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"Nevada"	"32"	"Male"	"M"	"< 1 year"	"1"	115	18263	629.7
	"2019"	"2019"	"Nevada"	"32"	"Male"	"M"	"1-4 years"	"1-4"	21	76678	27.4
	"2019"	"2019"	"Nevada"	"32"	"Male"	"M"	"5-14 years"	"5-14"	29	200301	14.5
	"2019"	"2019"	"Nevada"	"32"	"Male"	"M"	"15-24 years"	"15-24"	187	187765	99.6
	"2019"	"2019"	"Nevada"	"32"	"Male"	"M"	"25-34 years"	"25-34"	360	231904	155.2
	"2019"	"2019"	"Nevada"	"32"	"Male"	"M"	"35-44 years"	"35-44"	473	207654	227.8
	"2019"	"2019"	"Nevada"	"32"	"Male"	"M"	"45-54 years"	"45-54"	1037	199314	520.3
	"2019"	"2019"	"Nevada"	"32"	"Male"	"M"	"55-64 years"	"55-64"	2243	189422	1184.1
	"2019"	"2019"	"Nevada"	"32"	"Male"	"M"	"65-74 years"	"65-74"	3561	144742	2460.2
	"2019"	"2019"	"Nevada"	"32"	"Male"	"M"	"75-84 years"	"75-84"	3651	70136	5205.6
	"2019"	"2019"	"Nevada"	"32"	"Male"	"M"	"85+ years"	"85+"	2622	18648	14060.5
	"2019"	"2019"	"Nevada"	"32"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2019"	"2019"	"New Hampshire"	"33"	"Female"	"F"	"< 1 year"	"1"	16	5885	Unreliable
	"2019"	"2019"	"New Hampshire"	"33"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	25270	Suppressed
	"2019"	"2019"	"New Hampshire"	"33"	"Female"	"F"	"5-14 years"	"5-14"	10	69848	Unreliable
	"2019"	"2019"	"New Hampshire"	"33"	"Female"	"F"	"15-24 years"	"15-24"	35	84257	41.5
	"2019"	"2019"	"New Hampshire"	"33"	"Female"	"F"	"25-34 years"	"25-34"	86	83332	103.2
	"2019"	"2019"	"New Hampshire"	"33"	"Female"	"F"	"35-44 years"	"35-44"	106	78139	135.7
	"2019"	"2019"	"New Hampshire"	"33"	"Female"	"F"	"45-54 years"	"45-54"	228	92610	246.2
	"2019"	"2019"	"New Hampshire"	"33"	"Female"	"F"	"55-64 years"	"55-64"	592	109277	541.7
	"2019"	"2019"	"New Hampshire"	"33"	"Female"	"F"	"65-74 years"	"65-74"	1025	79028	1297.0
	"2019"	"2019"	"New Hampshire"	"33"	"Female"	"F"	"75-84 years"	"75-84"	1480	38770	3817.4
	"2019"	"2019"	"New Hampshire"	"33"	"Female"	"F"	"85+ years"	"85+"	2576	19502	13208.9
	"2019"	"2019"	"New Hampshire"	"33"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"New Hampshire"	"33"	"Male"	"M"	"< 1 year"	"1"	21	6167	340.5
	"2019"	"2019"	"New Hampshire"	"33"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	26299	Suppressed
	"2019"	"2019"	"New Hampshire"	"33"	"Male"	"M"	"5-14 years"	"5-14"	10	73601	Unreliable
	"2019"	"2019"	"New Hampshire"	"33"	"Male"	"M"	"15-24 years"	"15-24"	75	87617	85.6
	"2019"	"2019"	"New Hampshire"	"33"	"Male"	"M"	"25-34 years"	"25-34"	175	89484	195.6
	"2019"	"2019"	"New Hampshire"	"33"	"Male"	"M"	"35-44 years"	"35-44"	221	78361	282.0
	"2019"	"2019"	"New Hampshire"	"33"	"Male"	"M"	"45-54 years"	"45-54"	401	90663	442.3
	"2019"	"2019"	"New Hampshire"	"33"	"Male"	"M"	"55-64 years"	"55-64"	976	105037	929.2
	"2019"	"2019"	"New Hampshire"	"33"	"Male"	"M"	"65-74 years"	"65-74"	1385	73641	1880.7
	"2019"	"2019"	"New Hampshire"	"33"	"Male"	"M"	"75-84 years"	"75-84"	1624	32184	5046.0
	"2019"	"2019"	"New Hampshire"	"33"	"Male"	"M"	"85+ years"	"85+"	1692	10739	15755.7
	"2019"	"2019"	"New Hampshire"	"33"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"New Jersey"	"34"	"Female"	"F"	"< 1 year"	"1"	178	48529	366.8
	"2019"	"2019"	"New Jersey"	"34"	"Female"	"F"	"1-4 years"	"1-4"	31	203112	15.3
	"2019"	"2019"	"New Jersey"	"34"	"Female"	"F"	"5-14 years"	"5-14"	52	530870	9.8
	"2019"	"2019"	"New Jersey"	"34"	"Female"	"F"	"15-24 years"	"15-24"	179	535543	33.4
	"2019"	"2019"	"New Jersey"	"34"	"Female"	"F"	"25-34 years"	"25-34"	459	565927	81.1
	"2019"	"2019"	"New Jersey"	"34"	"Female"	"F"	"35-44 years"	"35-44"	638	572621	111.4
	"2019"	"2019"	"New Jersey"	"34"	"Female"	"F"	"45-54 years"	"45-54"	1498	614322	243.8
	"2019"	"2019"	"New Jersey"	"34"	"Female"	"F"	"55-64 years"	"55-64"	3406	633286	537.8
	"2019"	"2019"	"New Jersey"	"34"	"Female"	"F"	"65-74 years"	"65-74"	5692	449468	1266.4
	"2019"	"2019"	"New Jersey"	"34"	"Female"	"F"	"75-84 years"	"75-84"	8630	254106	3396.2
	"2019"	"2019"	"New Jersey"	"34"	"Female"	"F"	"85+ years"	"85+"	17048	133819	12739.6
	"2019"	"2019"	"New Jersey"	"34"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"New Jersey"	"34"	"Male"	"M"	"< 1 year"	"1"	250	50930	490.9
	"2019"	"2019"	"New Jersey"	"34"	"Male"	"M"	"1-4 years"	"1-4"	32	212119	15.1
	"2019"	"2019"	"New Jersey"	"34"	"Male"	"M"	"5-14 years"	"5-14"	59	553097	10.7
	"2019"	"2019"	"New Jersey"	"34"	"Male"	"M"	"15-24 years"	"15-24"	374	558012	67.0
	"2019"	"2019"	"New Jersey"	"34"	"Male"	"M"	"25-34 years"	"25-34"	1070	586351	182.5
	"2019"	"2019"	"New Jersey"	"34"	"Male"	"M"	"35-44 years"	"35-44"	1338	565072	236.8
	"2019"	"2019"	"New Jersey"	"34"	"Male"	"M"	"45-54 years"	"45-54"	2480	586501	422.8
	"2019"	"2019"	"New Jersey"	"34"	"Male"	"M"	"55-64 years"	"55-64"	5365	590363	908.8
	"2019"	"2019"	"New Jersey"	"34"	"Male"	"M"	"65-74 years"	"65-74"	7316	383398	1908.2
	"2019"	"2019"	"New Jersey"	"34"	"Male"	"M"	"75-84 years"	"75-84"	8889	185459	4793.0
	"2019"	"2019"	"New Jersey"	"34"	"Male"	"M"	"85+ years"	"85+"	10020	69285	14462.0
	"2019"	"2019"	"New Jersey"	"34"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2019"	"2019"	"New Mexico"	"35"	"Female"	"F"	"< 1 year"	"1"	58	11249	515.6
	"2019"	"2019"	"New Mexico"	"35"	"Female"	"F"	"1-4 years"	"1-4"	15	48047	Unreliable
	"2019"	"2019"	"New Mexico"	"35"	"Female"	"F"	"5-14 years"	"5-14"	19	133647	Unreliable
	"2019"	"2019"	"New Mexico"	"35"	"Female"	"F"	"15-24 years"	"15-24"	77	135033	57.0
	"2019"	"2019"	"New Mexico"	"35"	"Female"	"F"	"25-34 years"	"25-34"	193	137071	140.8
	"2019"	"2019"	"New Mexico"	"35"	"Female"	"F"	"35-44 years"	"35-44"	295	126368	233.4
	"2019"	"2019"	"New Mexico"	"35"	"Female"	"F"	"45-54 years"	"45-54"	489	119903	407.8
	"2019"	"2019"	"New Mexico"	"35"	"Female"	"F"	"55-64 years"	"55-64"	1005	142663	704.5
	"2019"	"2019"	"New Mexico"	"35"	"Female"	"F"	"65-74 years"	"65-74"	1553	119057	1304.4
	"2019"	"2019"	"New Mexico"	"35"	"Female"	"F"	"75-84 years"	"75-84"	2106	60973	3454.0
	"2019"	"2019"	"New Mexico"	"35"	"Female"	"F"	"85+ years"	"85+"	3105	25386	12231.2
	"2019"	"2019"	"New Mexico"	"35"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"New Mexico"	"35"	"Male"	"M"	"< 1 year"	"1"	71	11765	603.5
	"2019"	"2019"	"New Mexico"	"35"	"Male"	"M"	"1-4 years"	"1-4"	13	49925	Unreliable
	"2019"	"2019"	"New Mexico"	"35"	"Male"	"M"	"5-14 years"	"5-14"	25	138621	18.0
	"2019"	"2019"	"New Mexico"	"35"	"Male"	"M"	"15-24 years"	"15-24"	228	143426	159.0
	"2019"	"2019"	"New Mexico"	"35"	"Male"	"M"	"25-34 years"	"25-34"	467	147016	317.7
	"2019"	"2019"	"New Mexico"	"35"	"Male"	"M"	"35-44 years"	"35-44"	575	128478	447.5
	"2019"	"2019"	"New Mexico"	"35"	"Male"	"M"	"45-54 years"	"45-54"	833	115753	719.6
	"2019"	"2019"	"New Mexico"	"35"	"Male"	"M"	"55-64 years"	"55-64"	1615	130258	1239.8
	"2019"	"2019"	"New Mexico"	"35"	"Male"	"M"	"65-74 years"	"65-74"	2249	105426	2133.2
	"2019"	"2019"	"New Mexico"	"35"	"Male"	"M"	"75-84 years"	"75-84"	2425	50741	4779.2
	"2019"	"2019"	"New Mexico"	"35"	"Male"	"M"	"85+ years"	"85+"	2096	16023	13081.2
	"2019"	"2019"	"New Mexico"	"35"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"New York"	"36"	"Female"	"F"	"< 1 year"	"1"	397	109453	362.7
	"2019"	"2019"	"New York"	"36"	"Female"	"F"	"1-4 years"	"1-4"	68	440638	15.4
	"2019"	"2019"	"New York"	"36"	"Female"	"F"	"5-14 years"	"5-14"	120	1084086	11.1
	"2019"	"2019"	"New York"	"36"	"Female"	"F"	"15-24 years"	"15-24"	335	1213290	27.6
	"2019"	"2019"	"New York"	"36"	"Female"	"F"	"25-34 years"	"25-34"	809	1430708	56.5
	"2019"	"2019"	"New York"	"36"	"Female"	"F"	"35-44 years"	"35-44"	1255	1230789	102.0
	"2019"	"2019"	"New York"	"36"	"Female"	"F"	"45-54 years"	"45-54"	3046	1270542	239.7
	"2019"	"2019"	"New York"	"36"	"Female"	"F"	"55-64 years"	"55-64"	7218	1353034	533.5
	"2019"	"2019"	"New York"	"36"	"Female"	"F"	"65-74 years"	"65-74"	12130	1004677	1207.4
	"2019"	"2019"	"New York"	"36"	"Female"	"F"	"75-84 years"	"75-84"	18267	566795	3222.9
	"2019"	"2019"	"New York"	"36"	"Female"	"F"	"85+ years"	"85+"	34656	301703	11486.8
	"2019"	"2019"	"New York"	"36"	"Female"	"F"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2019"	"2019"	"New York"	"36"	"Male"	"M"	"< 1 year"	"1"	558	114477	487.4
	"2019"	"2019"	"New York"	"36"	"Male"	"M"	"1-4 years"	"1-4"	86	462433	18.6
	"2019"	"2019"	"New York"	"36"	"Male"	"M"	"5-14 years"	"5-14"	144	1134510	12.7
	"2019"	"2019"	"New York"	"36"	"Male"	"M"	"15-24 years"	"15-24"	837	1231956	67.9
	"2019"	"2019"	"New York"	"36"	"Male"	"M"	"25-34 years"	"25-34"	1923	1436943	133.8
	"2019"	"2019"	"New York"	"36"	"Male"	"M"	"35-44 years"	"35-44"	2483	1199172	207.1
	"2019"	"2019"	"New York"	"36"	"Male"	"M"	"45-54 years"	"45-54"	4864	1201262	404.9
	"2019"	"2019"	"New York"	"36"	"Male"	"M"	"55-64 years"	"55-64"	11361	1244122	913.2
	"2019"	"2019"	"New York"	"36"	"Male"	"M"	"65-74 years"	"65-74"	16283	855245	1903.9
	"2019"	"2019"	"New York"	"36"	"Male"	"M"	"75-84 years"	"75-84"	18595	409428	4541.7
	"2019"	"2019"	"New York"	"36"	"Male"	"M"	"85+ years"	"85+"	20903	158298	13204.8
	"2019"	"2019"	"New York"	"36"	"Male"	"M"	"Not Stated"	"NS"	25	Not Applicable	Not Applicable
	"2019"	"2019"	"North Carolina"	"37"	"Female"	"F"	"< 1 year"	"1"	372	58067	640.6
	"2019"	"2019"	"North Carolina"	"37"	"Female"	"F"	"1-4 years"	"1-4"	61	239856	25.4
	"2019"	"2019"	"North Carolina"	"37"	"Female"	"F"	"5-14 years"	"5-14"	69	634999	10.9
	"2019"	"2019"	"North Carolina"	"37"	"Female"	"F"	"15-24 years"	"15-24"	275	676296	40.7
	"2019"	"2019"	"North Carolina"	"37"	"Female"	"F"	"25-34 years"	"25-34"	673	710328	94.7
	"2019"	"2019"	"North Carolina"	"37"	"Female"	"F"	"35-44 years"	"35-44"	1034	669132	154.5
	"2019"	"2019"	"North Carolina"	"37"	"Female"	"F"	"45-54 years"	"45-54"	2258	699397	322.8
	"2019"	"2019"	"North Carolina"	"37"	"Female"	"F"	"55-64 years"	"55-64"	5256	715387	734.7
	"2019"	"2019"	"North Carolina"	"37"	"Female"	"F"	"65-74 years"	"65-74"	8504	567132	1499.5
	"2019"	"2019"	"North Carolina"	"37"	"Female"	"F"	"75-84 years"	"75-84"	11785	292600	4027.7
	"2019"	"2019"	"North Carolina"	"37"	"Female"	"F"	"85+ years"	"85+"	16727	124626	13421.8
	"2019"	"2019"	"North Carolina"	"37"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"North Carolina"	"37"	"Male"	"M"	"< 1 year"	"1"	436	60824	716.8
	"2019"	"2019"	"North Carolina"	"37"	"Male"	"M"	"1-4 years"	"1-4"	73	251023	29.1
	"2019"	"2019"	"North Carolina"	"37"	"Male"	"M"	"5-14 years"	"5-14"	99	659473	15.0
	"2019"	"2019"	"North Carolina"	"37"	"Male"	"M"	"15-24 years"	"15-24"	818	710764	115.1
	"2019"	"2019"	"North Carolina"	"37"	"Male"	"M"	"25-34 years"	"25-34"	1470	705741	208.3
	"2019"	"2019"	"North Carolina"	"37"	"Male"	"M"	"35-44 years"	"35-44"	1793	634295	282.7
	"2019"	"2019"	"North Carolina"	"37"	"Male"	"M"	"45-54 years"	"45-54"	3419	664670	514.4
	"2019"	"2019"	"North Carolina"	"37"	"Male"	"M"	"55-64 years"	"55-64"	7857	646738	1214.9
	"2019"	"2019"	"North Carolina"	"37"	"Male"	"M"	"65-74 years"	"65-74"	11232	479376	2343.0
	"2019"	"2019"	"North Carolina"	"37"	"Male"	"M"	"75-84 years"	"75-84"	11960	222592	5373.1
	"2019"	"2019"	"North Carolina"	"37"	"Male"	"M"	"85+ years"	"85+"	9708	64768	14988.9
	"2019"	"2019"	"North Carolina"	"37"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2019"	"2019"	"North Dakota"	"38"	"Female"	"F"	"< 1 year"	"1"	34	5110	665.4
	"2019"	"2019"	"North Dakota"	"38"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	21200	Suppressed
	"2019"	"2019"	"North Dakota"	"38"	"Female"	"F"	"5-14 years"	"5-14"	Suppressed	48679	Suppressed
	"2019"	"2019"	"North Dakota"	"38"	"Female"	"F"	"15-24 years"	"15-24"	20	52187	38.3
	"2019"	"2019"	"North Dakota"	"38"	"Female"	"F"	"25-34 years"	"25-34"	45	52543	85.6
