"Notes"	"Year"	"Year Code"	"Residence State"	"Residence State Code"	"Gender"	"Gender Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"2019"	"2019"	"Pennsylvania"	"42"	"Female"	"F"	"50-54 years"	"50-54"	1582	421650	375.2
	"2019"	"2019"	"Pennsylvania"	"42"	"Female"	"F"	"55-59 years"	"55-59"	2571	466628	551.0
	"2019"	"2019"	"Pennsylvania"	"42"	"Female"	"F"	"60-64 years "	"60-64"	3706	463436	799.7
	"2019"	"2019"	"Pennsylvania"	"42"	"Female"	"F"	"65-69 years"	"65-69"	4400	396615	1109.4
	"2019"	"2019"	"Pennsylvania"	"42"	"Female"	"F"	"70-74 years"	"70-74"	5826	321517	1812.0
	"2019"	"2019"	"Pennsylvania"	"42"	"Female"	"F"	"75-79 years"	"75-79"	7083	234688	3018.0
	"2019"	"2019"	"Pennsylvania"	"42"	"Female"	"F"	"80-84 years"	"80-84"	8759	169354	5172.0
	"2019"	"2019"	"Pennsylvania"	"42"	"Female"	"F"	"85-89 years"	"85-89"	10931	Not Applicable	Not Applicable
	"2019"	"2019"	"Pennsylvania"	"42"	"Female"	"F"	"90-94 years"	"90-94"	11325	Not Applicable	Not Applicable
	"2019"	"2019"	"Pennsylvania"	"42"	"Female"	"F"	"95-99 years"	"95-99"	5844	Not Applicable	Not Applicable
	"2019"	"2019"	"Pennsylvania"	"42"	"Female"	"F"	"100+ years"	"100+"	1297	Not Applicable	Not Applicable
	"2019"	"2019"	"Pennsylvania"	"42"	"Female"	"F"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2019"	"2019"	"Pennsylvania"	"42"	"Male"	"M"	"< 1 year"	"1"	453	68944	657.1
	"2019"	"2019"	"Pennsylvania"	"42"	"Male"	"M"	"1-4 years"	"1-4"	72	288145	25.0
	"2019"	"2019"	"Pennsylvania"	"42"	"Male"	"M"	"5-9 years"	"5-9"	58	371201	15.6
	"2019"	"2019"	"Pennsylvania"	"42"	"Male"	"M"	"10-14 years"	"10-14"	71	383679	18.5
	"2019"	"2019"	"Pennsylvania"	"42"	"Male"	"M"	"15-19 years"	"15-19"	210	409186	51.3
	"2019"	"2019"	"Pennsylvania"	"42"	"Male"	"M"	"20-24 years"	"20-24"	568	406017	139.9
	"2019"	"2019"	"Pennsylvania"	"42"	"Male"	"M"	"25-29 years"	"25-29"	875	440810	198.5
	"2019"	"2019"	"Pennsylvania"	"42"	"Male"	"M"	"30-34 years"	"30-34"	998	430526	231.8
	"2019"	"2019"	"Pennsylvania"	"42"	"Male"	"M"	"35-39 years"	"35-39"	1068	397078	269.0
	"2019"	"2019"	"Pennsylvania"	"42"	"Male"	"M"	"40-44 years"	"40-44"	1081	359573	300.6
	"2019"	"2019"	"Pennsylvania"	"42"	"Male"	"M"	"45-49 years"	"45-49"	1567	383629	408.5
	"2019"	"2019"	"Pennsylvania"	"42"	"Male"	"M"	"50-54 years"	"50-54"	2454	408851	600.2
	"2019"	"2019"	"Pennsylvania"	"42"	"Male"	"M"	"55-59 years"	"55-59"	4062	443069	916.8
	"2019"	"2019"	"Pennsylvania"	"42"	"Male"	"M"	"60-64 years "	"60-64"	5602	431750	1297.5
	"2019"	"2019"	"Pennsylvania"	"42"	"Male"	"M"	"65-69 years"	"65-69"	6347	358688	1769.5
	"2019"	"2019"	"Pennsylvania"	"42"	"Male"	"M"	"70-74 years"	"70-74"	7459	277273	2690.1
	"2019"	"2019"	"Pennsylvania"	"42"	"Male"	"M"	"75-79 years"	"75-79"	7987	184835	4321.2
	"2019"	"2019"	"Pennsylvania"	"42"	"Male"	"M"	"80-84 years"	"80-84"	8508	118280	7193.1
	"2019"	"2019"	"Pennsylvania"	"42"	"Male"	"M"	"85-89 years"	"85-89"	8497	Not Applicable	Not Applicable
	"2019"	"2019"	"Pennsylvania"	"42"	"Male"	"M"	"90-94 years"	"90-94"	6491	Not Applicable	Not Applicable
	"2019"	"2019"	"Pennsylvania"	"42"	"Male"	"M"	"95-99 years"	"95-99"	2277	Not Applicable	Not Applicable
	"2019"	"2019"	"Pennsylvania"	"42"	"Male"	"M"	"100+ years"	"100+"	295	Not Applicable	Not Applicable
	"2019"	"2019"	"Pennsylvania"	"42"	"Male"	"M"	"Not Stated"	"NS"	24	Not Applicable	Not Applicable
	"2019"	"2019"	"Rhode Island"	"44"	"Female"	"F"	"< 1 year"	"1"	25	5141	486.3
	"2019"	"2019"	"Rhode Island"	"44"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	21514	Suppressed
	"2019"	"2019"	"Rhode Island"	"44"	"Female"	"F"	"5-9 years"	"5-9"	Suppressed	26746	Suppressed
	"2019"	"2019"	"Rhode Island"	"44"	"Female"	"F"	"10-14 years"	"10-14"	Suppressed	28256	Suppressed
	"2019"	"2019"	"Rhode Island"	"44"	"Female"	"F"	"15-19 years"	"15-19"	Suppressed	35762	Suppressed
	"2019"	"2019"	"Rhode Island"	"44"	"Female"	"F"	"20-24 years"	"20-24"	17	37494	Unreliable
	"2019"	"2019"	"Rhode Island"	"44"	"Female"	"F"	"25-29 years"	"25-29"	23	36767	62.6
	"2019"	"2019"	"Rhode Island"	"44"	"Female"	"F"	"30-34 years"	"30-34"	28	35743	78.3
	"2019"	"2019"	"Rhode Island"	"44"	"Female"	"F"	"35-39 years"	"35-39"	29	32856	88.3
	"2019"	"2019"	"Rhode Island"	"44"	"Female"	"F"	"40-44 years"	"40-44"	46	29924	153.7
	"2019"	"2019"	"Rhode Island"	"44"	"Female"	"F"	"45-49 years"	"45-49"	68	32892	206.7
	"2019"	"2019"	"Rhode Island"	"44"	"Female"	"F"	"50-54 years"	"50-54"	112	36709	305.1
	"2019"	"2019"	"Rhode Island"	"44"	"Female"	"F"	"55-59 years"	"55-59"	183	39970	457.8
	"2019"	"2019"	"Rhode Island"	"44"	"Female"	"F"	"60-64 years "	"60-64"	244	38263	637.7
	"2019"	"2019"	"Rhode Island"	"44"	"Female"	"F"	"65-69 years"	"65-69"	341	31349	1087.8
	"2019"	"2019"	"Rhode Island"	"44"	"Female"	"F"	"70-74 years"	"70-74"	387	25111	1541.2
	"2019"	"2019"	"Rhode Island"	"44"	"Female"	"F"	"75-79 years"	"75-79"	528	17951	2941.3
	"2019"	"2019"	"Rhode Island"	"44"	"Female"	"F"	"80-84 years"	"80-84"	648	12704	5100.8
	"2019"	"2019"	"Rhode Island"	"44"	"Female"	"F"	"85-89 years"	"85-89"	924	Not Applicable	Not Applicable
	"2019"	"2019"	"Rhode Island"	"44"	"Female"	"F"	"90-94 years"	"90-94"	980	Not Applicable	Not Applicable
	"2019"	"2019"	"Rhode Island"	"44"	"Female"	"F"	"95-99 years"	"95-99"	565	Not Applicable	Not Applicable
	"2019"	"2019"	"Rhode Island"	"44"	"Female"	"F"	"100+ years"	"100+"	136	Not Applicable	Not Applicable
	"2019"	"2019"	"Rhode Island"	"44"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"Rhode Island"	"44"	"Male"	"M"	"< 1 year"	"1"	36	5377	669.5
	"2019"	"2019"	"Rhode Island"	"44"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	22489	Suppressed
	"2019"	"2019"	"Rhode Island"	"44"	"Male"	"M"	"5-9 years"	"5-9"	Suppressed	28153	Suppressed
	"2019"	"2019"	"Rhode Island"	"44"	"Male"	"M"	"10-14 years"	"10-14"	Suppressed	29713	Suppressed
	"2019"	"2019"	"Rhode Island"	"44"	"Male"	"M"	"15-19 years"	"15-19"	10	35392	Unreliable
	"2019"	"2019"	"Rhode Island"	"44"	"Male"	"M"	"20-24 years"	"20-24"	27	38009	71.0
	"2019"	"2019"	"Rhode Island"	"44"	"Male"	"M"	"25-29 years"	"25-29"	41	38976	105.2
	"2019"	"2019"	"Rhode Island"	"44"	"Male"	"M"	"30-34 years"	"30-34"	72	36727	196.0
	"2019"	"2019"	"Rhode Island"	"44"	"Male"	"M"	"35-39 years"	"35-39"	88	33402	263.5
	"2019"	"2019"	"Rhode Island"	"44"	"Male"	"M"	"40-44 years"	"40-44"	87	29153	298.4
	"2019"	"2019"	"Rhode Island"	"44"	"Male"	"M"	"45-49 years"	"45-49"	120	31034	386.7
	"2019"	"2019"	"Rhode Island"	"44"	"Male"	"M"	"50-54 years"	"50-54"	198	34477	574.3
	"2019"	"2019"	"Rhode Island"	"44"	"Male"	"M"	"55-59 years"	"55-59"	280	36579	765.5
	"2019"	"2019"	"Rhode Island"	"44"	"Male"	"M"	"60-64 years "	"60-64"	394	34797	1132.3
	"2019"	"2019"	"Rhode Island"	"44"	"Male"	"M"	"65-69 years"	"65-69"	453	28011	1617.2
	"2019"	"2019"	"Rhode Island"	"44"	"Male"	"M"	"70-74 years"	"70-74"	582	21688	2683.5
	"2019"	"2019"	"Rhode Island"	"44"	"Male"	"M"	"75-79 years"	"75-79"	583	14068	4144.2
	"2019"	"2019"	"Rhode Island"	"44"	"Male"	"M"	"80-84 years"	"80-84"	609	8652	7038.8
	"2019"	"2019"	"Rhode Island"	"44"	"Male"	"M"	"85-89 years"	"85-89"	619	Not Applicable	Not Applicable
	"2019"	"2019"	"Rhode Island"	"44"	"Male"	"M"	"90-94 years"	"90-94"	512	Not Applicable	Not Applicable
	"2019"	"2019"	"Rhode Island"	"44"	"Male"	"M"	"95-99 years"	"95-99"	210	Not Applicable	Not Applicable
	"2019"	"2019"	"Rhode Island"	"44"	"Male"	"M"	"100+ years"	"100+"	27	Not Applicable	Not Applicable
	"2019"	"2019"	"Rhode Island"	"44"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"South Carolina"	"45"	"Female"	"F"	"< 1 year"	"1"	163	27407	594.7
	"2019"	"2019"	"South Carolina"	"45"	"Female"	"F"	"1-4 years"	"1-4"	36	115628	31.1
	"2019"	"2019"	"South Carolina"	"45"	"Female"	"F"	"5-9 years"	"5-9"	13	150826	Unreliable
	"2019"	"2019"	"South Carolina"	"45"	"Female"	"F"	"10-14 years"	"10-14"	22	159497	13.8
	"2019"	"2019"	"South Carolina"	"45"	"Female"	"F"	"15-19 years"	"15-19"	57	158802	35.9
	"2019"	"2019"	"South Carolina"	"45"	"Female"	"F"	"20-24 years"	"20-24"	111	160292	69.2
	"2019"	"2019"	"South Carolina"	"45"	"Female"	"F"	"25-29 years"	"25-29"	134	177577	75.5
	"2019"	"2019"	"South Carolina"	"45"	"Female"	"F"	"30-34 years"	"30-34"	200	168416	118.8
	"2019"	"2019"	"South Carolina"	"45"	"Female"	"F"	"35-39 years"	"35-39"	282	164484	171.4
	"2019"	"2019"	"South Carolina"	"45"	"Female"	"F"	"40-44 years"	"40-44"	320	154610	207.0
	"2019"	"2019"	"South Carolina"	"45"	"Female"	"F"	"45-49 years"	"45-49"	500	164348	304.2
	"2019"	"2019"	"South Carolina"	"45"	"Female"	"F"	"50-54 years"	"50-54"	770	167497	459.7
	"2019"	"2019"	"South Carolina"	"45"	"Female"	"F"	"55-59 years"	"55-59"	1227	184296	665.8
	"2019"	"2019"	"South Carolina"	"45"	"Female"	"F"	"60-64 years "	"60-64"	1724	181511	949.8
	"2019"	"2019"	"South Carolina"	"45"	"Female"	"F"	"65-69 years"	"65-69"	1999	168313	1187.7
	"2019"	"2019"	"South Carolina"	"45"	"Female"	"F"	"70-74 years"	"70-74"	2612	140176	1863.4
	"2019"	"2019"	"South Carolina"	"45"	"Female"	"F"	"75-79 years"	"75-79"	2944	94412	3118.2
	"2019"	"2019"	"South Carolina"	"45"	"Female"	"F"	"80-84 years"	"80-84"	3285	58484	5616.9
	"2019"	"2019"	"South Carolina"	"45"	"Female"	"F"	"85-89 years"	"85-89"	3405	Not Applicable	Not Applicable
	"2019"	"2019"	"South Carolina"	"45"	"Female"	"F"	"90-94 years"	"90-94"	2857	Not Applicable	Not Applicable
	"2019"	"2019"	"South Carolina"	"45"	"Female"	"F"	"95-99 years"	"95-99"	1408	Not Applicable	Not Applicable
	"2019"	"2019"	"South Carolina"	"45"	"Female"	"F"	"100+ years"	"100+"	267	Not Applicable	Not Applicable
	"2019"	"2019"	"South Carolina"	"45"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"South Carolina"	"45"	"Male"	"M"	"< 1 year"	"1"	228	28715	794.0
	"2019"	"2019"	"South Carolina"	"45"	"Male"	"M"	"1-4 years"	"1-4"	44	120714	36.4
	"2019"	"2019"	"South Carolina"	"45"	"Male"	"M"	"5-9 years"	"5-9"	23	155950	14.7
	"2019"	"2019"	"South Carolina"	"45"	"Male"	"M"	"10-14 years"	"10-14"	38	164443	23.1
	"2019"	"2019"	"South Carolina"	"45"	"Male"	"M"	"15-19 years"	"15-19"	158	165857	95.3
	"2019"	"2019"	"South Carolina"	"45"	"Male"	"M"	"20-24 years"	"20-24"	312	170451	183.0
	"2019"	"2019"	"South Carolina"	"45"	"Male"	"M"	"25-29 years"	"25-29"	393	175694	223.7
	"2019"	"2019"	"South Carolina"	"45"	"Male"	"M"	"30-34 years"	"30-34"	400	161167	248.2
	"2019"	"2019"	"South Carolina"	"45"	"Male"	"M"	"35-39 years"	"35-39"	497	155506	319.6
	"2019"	"2019"	"South Carolina"	"45"	"Male"	"M"	"40-44 years"	"40-44"	578	145904	396.2
	"2019"	"2019"	"South Carolina"	"45"	"Male"	"M"	"45-49 years"	"45-49"	838	153847	544.7
	"2019"	"2019"	"South Carolina"	"45"	"Male"	"M"	"50-54 years"	"50-54"	1117	154915	721.0
	"2019"	"2019"	"South Carolina"	"45"	"Male"	"M"	"55-59 years"	"55-59"	1863	165680	1124.5
	"2019"	"2019"	"South Carolina"	"45"	"Male"	"M"	"60-64 years "	"60-64"	2590	157657	1642.8
	"2019"	"2019"	"South Carolina"	"45"	"Male"	"M"	"65-69 years"	"65-69"	2992	140894	2123.6
	"2019"	"2019"	"South Carolina"	"45"	"Male"	"M"	"70-74 years"	"70-74"	3327	121217	2744.7
	"2019"	"2019"	"South Carolina"	"45"	"Male"	"M"	"75-79 years"	"75-79"	3502	78602	4455.4
	"2019"	"2019"	"South Carolina"	"45"	"Male"	"M"	"80-84 years"	"80-84"	3067	43515	7048.1
	"2019"	"2019"	"South Carolina"	"45"	"Male"	"M"	"85-89 years"	"85-89"	2520	Not Applicable	Not Applicable
	"2019"	"2019"	"South Carolina"	"45"	"Male"	"M"	"90-94 years"	"90-94"	1557	Not Applicable	Not Applicable
	"2019"	"2019"	"South Carolina"	"45"	"Male"	"M"	"95-99 years"	"95-99"	518	Not Applicable	Not Applicable
	"2019"	"2019"	"South Carolina"	"45"	"Male"	"M"	"100+ years"	"100+"	64	Not Applicable	Not Applicable
	"2019"	"2019"	"South Carolina"	"45"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"South Dakota"	"46"	"Female"	"F"	"< 1 year"	"1"	39	5857	665.9
	"2019"	"2019"	"South Dakota"	"46"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	23927	Suppressed
	"2019"	"2019"	"South Dakota"	"46"	"Female"	"F"	"5-9 years"	"5-9"	Suppressed	29654	Suppressed
	"2019"	"2019"	"South Dakota"	"46"	"Female"	"F"	"10-14 years"	"10-14"	Suppressed	29595	Suppressed
	"2019"	"2019"	"South Dakota"	"46"	"Female"	"F"	"15-19 years"	"15-19"	19	27955	Unreliable
	"2019"	"2019"	"South Dakota"	"46"	"Female"	"F"	"20-24 years"	"20-24"	16	28355	Unreliable
	"2019"	"2019"	"South Dakota"	"46"	"Female"	"F"	"25-29 years"	"25-29"	20	27371	73.1
	"2019"	"2019"	"South Dakota"	"46"	"Female"	"F"	"30-34 years"	"30-34"	32	27354	117.0
	"2019"	"2019"	"South Dakota"	"46"	"Female"	"F"	"35-39 years"	"35-39"	41	27301	150.2
	"2019"	"2019"	"South Dakota"	"46"	"Female"	"F"	"40-44 years"	"40-44"	49	23753	206.3
	"2019"	"2019"	"South Dakota"	"46"	"Female"	"F"	"45-49 years"	"45-49"	70	22825	306.7
	"2019"	"2019"	"South Dakota"	"46"	"Female"	"F"	"50-54 years"	"50-54"	77	23737	324.4
	"2019"	"2019"	"South Dakota"	"46"	"Female"	"F"	"55-59 years"	"55-59"	150	29542	507.8
	"2019"	"2019"	"South Dakota"	"46"	"Female"	"F"	"60-64 years "	"60-64"	214	29471	726.1
	"2019"	"2019"	"South Dakota"	"46"	"Female"	"F"	"65-69 years"	"65-69"	273	26072	1047.1
	"2019"	"2019"	"South Dakota"	"46"	"Female"	"F"	"70-74 years"	"70-74"	298	18585	1603.4
	"2019"	"2019"	"South Dakota"	"46"	"Female"	"F"	"75-79 years"	"75-79"	407	13026	3124.5
	"2019"	"2019"	"South Dakota"	"46"	"Female"	"F"	"80-84 years"	"80-84"	479	9775	4900.3
	"2019"	"2019"	"South Dakota"	"46"	"Female"	"F"	"85-89 years"	"85-89"	688	Not Applicable	Not Applicable
	"2019"	"2019"	"South Dakota"	"46"	"Female"	"F"	"90-94 years"	"90-94"	612	Not Applicable	Not Applicable
	"2019"	"2019"	"South Dakota"	"46"	"Female"	"F"	"95-99 years"	"95-99"	420	Not Applicable	Not Applicable
	"2019"	"2019"	"South Dakota"	"46"	"Female"	"F"	"100+ years"	"100+"	110	Not Applicable	Not Applicable
	"2019"	"2019"	"South Dakota"	"46"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"South Dakota"	"46"	"Male"	"M"	"< 1 year"	"1"	41	6128	669.1
	"2019"	"2019"	"South Dakota"	"46"	"Male"	"M"	"1-4 years"	"1-4"	10	25255	Unreliable
	"2019"	"2019"	"South Dakota"	"46"	"Male"	"M"	"5-9 years"	"5-9"	Suppressed	31280	Suppressed
	"2019"	"2019"	"South Dakota"	"46"	"Male"	"M"	"10-14 years"	"10-14"	Suppressed	31137	Suppressed
	"2019"	"2019"	"South Dakota"	"46"	"Male"	"M"	"15-19 years"	"15-19"	36	29779	120.9
	"2019"	"2019"	"South Dakota"	"46"	"Male"	"M"	"20-24 years"	"20-24"	44	30575	143.9
	"2019"	"2019"	"South Dakota"	"46"	"Male"	"M"	"25-29 years"	"25-29"	53	30615	173.1
	"2019"	"2019"	"South Dakota"	"46"	"Male"	"M"	"30-34 years"	"30-34"	60	29724	201.9
	"2019"	"2019"	"South Dakota"	"46"	"Male"	"M"	"35-39 years"	"35-39"	72	29598	243.3
	"2019"	"2019"	"South Dakota"	"46"	"Male"	"M"	"40-44 years"	"40-44"	74	25212	293.5
	"2019"	"2019"	"South Dakota"	"46"	"Male"	"M"	"45-49 years"	"45-49"	109	23816	457.7
	"2019"	"2019"	"South Dakota"	"46"	"Male"	"M"	"50-54 years"	"50-54"	137	24487	559.5
	"2019"	"2019"	"South Dakota"	"46"	"Male"	"M"	"55-59 years"	"55-59"	271	29247	926.6
	"2019"	"2019"	"South Dakota"	"46"	"Male"	"M"	"60-64 years "	"60-64"	345	29238	1180.0
	"2019"	"2019"	"South Dakota"	"46"	"Male"	"M"	"65-69 years"	"65-69"	408	25950	1572.3
	"2019"	"2019"	"South Dakota"	"46"	"Male"	"M"	"70-74 years"	"70-74"	465	18609	2498.8
	"2019"	"2019"	"South Dakota"	"46"	"Male"	"M"	"75-79 years"	"75-79"	503	11416	4406.1
	"2019"	"2019"	"South Dakota"	"46"	"Male"	"M"	"80-84 years"	"80-84"	543	7453	7285.7
	"2019"	"2019"	"South Dakota"	"46"	"Male"	"M"	"85-89 years"	"85-89"	513	Not Applicable	Not Applicable
	"2019"	"2019"	"South Dakota"	"46"	"Male"	"M"	"90-94 years"	"90-94"	392	Not Applicable	Not Applicable
	"2019"	"2019"	"South Dakota"	"46"	"Male"	"M"	"95-99 years"	"95-99"	138	Not Applicable	Not Applicable
	"2019"	"2019"	"South Dakota"	"46"	"Male"	"M"	"100+ years"	"100+"	20	Not Applicable	Not Applicable
	"2019"	"2019"	"South Dakota"	"46"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"Tennessee"	"47"	"Female"	"F"	"< 1 year"	"1"	244	38959	626.3
	"2019"	"2019"	"Tennessee"	"47"	"Female"	"F"	"1-4 years"	"1-4"	31	160823	19.3
	"2019"	"2019"	"Tennessee"	"47"	"Female"	"F"	"5-9 years"	"5-9"	28	201932	13.9
	"2019"	"2019"	"Tennessee"	"47"	"Female"	"F"	"10-14 years"	"10-14"	39	211554	18.4
	"2019"	"2019"	"Tennessee"	"47"	"Female"	"F"	"15-19 years"	"15-19"	79	207809	38.0
	"2019"	"2019"	"Tennessee"	"47"	"Female"	"F"	"20-24 years"	"20-24"	139	219838	63.2
	"2019"	"2019"	"Tennessee"	"47"	"Female"	"F"	"25-29 years"	"25-29"	222	247960	89.5
	"2019"	"2019"	"Tennessee"	"47"	"Female"	"F"	"30-34 years"	"30-34"	332	228129	145.5
	"2019"	"2019"	"Tennessee"	"47"	"Female"	"F"	"35-39 years"	"35-39"	389	220743	176.2
	"2019"	"2019"	"Tennessee"	"47"	"Female"	"F"	"40-44 years"	"40-44"	489	209382	233.5
	"2019"	"2019"	"Tennessee"	"47"	"Female"	"F"	"45-49 years"	"45-49"	778	223094	348.7
	"2019"	"2019"	"Tennessee"	"47"	"Female"	"F"	"50-54 years"	"50-54"	1141	221280	515.6
	"2019"	"2019"	"Tennessee"	"47"	"Female"	"F"	"55-59 years"	"55-59"	1770	239315	739.6
	"2019"	"2019"	"Tennessee"	"47"	"Female"	"F"	"60-64 years "	"60-64"	2534	229143	1105.9
	"2019"	"2019"	"Tennessee"	"47"	"Female"	"F"	"65-69 years"	"65-69"	2851	199737	1427.4
	"2019"	"2019"	"Tennessee"	"47"	"Female"	"F"	"70-74 years"	"70-74"	3592	165287	2173.2
	"2019"	"2019"	"Tennessee"	"47"	"Female"	"F"	"75-79 years"	"75-79"	4096	115504	3546.2
	"2019"	"2019"	"Tennessee"	"47"	"Female"	"F"	"80-84 years"	"80-84"	4469	76550	5838.0
	"2019"	"2019"	"Tennessee"	"47"	"Female"	"F"	"85-89 years"	"85-89"	4791	Not Applicable	Not Applicable
	"2019"	"2019"	"Tennessee"	"47"	"Female"	"F"	"90-94 years"	"90-94"	3969	Not Applicable	Not Applicable
	"2019"	"2019"	"Tennessee"	"47"	"Female"	"F"	"95-99 years"	"95-99"	1828	Not Applicable	Not Applicable
	"2019"	"2019"	"Tennessee"	"47"	"Female"	"F"	"100+ years"	"100+"	406	Not Applicable	Not Applicable
	"2019"	"2019"	"Tennessee"	"47"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"Tennessee"	"47"	"Male"	"M"	"< 1 year"	"1"	319	40816	781.6
	"2019"	"2019"	"Tennessee"	"47"	"Male"	"M"	"1-4 years"	"1-4"	54	168007	32.1
	"2019"	"2019"	"Tennessee"	"47"	"Male"	"M"	"5-9 years"	"5-9"	41	211447	19.4
	"2019"	"2019"	"Tennessee"	"47"	"Male"	"M"	"10-14 years"	"10-14"	36	219748	16.4
	"2019"	"2019"	"Tennessee"	"47"	"Male"	"M"	"15-19 years"	"15-19"	205	216471	94.7
	"2019"	"2019"	"Tennessee"	"47"	"Male"	"M"	"20-24 years"	"20-24"	413	225087	183.5
	"2019"	"2019"	"Tennessee"	"47"	"Male"	"M"	"25-29 years"	"25-29"	517	249326	207.4
	"2019"	"2019"	"Tennessee"	"47"	"Male"	"M"	"30-34 years"	"30-34"	586	224241	261.3
	"2019"	"2019"	"Tennessee"	"47"	"Male"	"M"	"35-39 years"	"35-39"	667	214785	310.5
	"2019"	"2019"	"Tennessee"	"47"	"Male"	"M"	"40-44 years"	"40-44"	818	202748	403.5
	"2019"	"2019"	"Tennessee"	"47"	"Male"	"M"	"45-49 years"	"45-49"	1274	214901	592.8
	"2019"	"2019"	"Tennessee"	"47"	"Male"	"M"	"50-54 years"	"50-54"	1728	212004	815.1
	"2019"	"2019"	"Tennessee"	"47"	"Male"	"M"	"55-59 years"	"55-59"	2878	220979	1302.4
	"2019"	"2019"	"Tennessee"	"47"	"Male"	"M"	"60-64 years "	"60-64"	3647	205260	1776.8
	"2019"	"2019"	"Tennessee"	"47"	"Male"	"M"	"65-69 years"	"65-69"	4180	174024	2402.0
	"2019"	"2019"	"Tennessee"	"47"	"Male"	"M"	"70-74 years"	"70-74"	4649	142348	3265.9
	"2019"	"2019"	"Tennessee"	"47"	"Male"	"M"	"75-79 years"	"75-79"	4681	93726	4994.3
	"2019"	"2019"	"Tennessee"	"47"	"Male"	"M"	"80-84 years"	"80-84"	4412	54448	8103.1
	"2019"	"2019"	"Tennessee"	"47"	"Male"	"M"	"85-89 years"	"85-89"	3686	Not Applicable	Not Applicable
	"2019"	"2019"	"Tennessee"	"47"	"Male"	"M"	"90-94 years"	"90-94"	2184	Not Applicable	Not Applicable
	"2019"	"2019"	"Tennessee"	"47"	"Male"	"M"	"95-99 years"	"95-99"	665	Not Applicable	Not Applicable
	"2019"	"2019"	"Tennessee"	"47"	"Male"	"M"	"100+ years"	"100+"	78	Not Applicable	Not Applicable
	"2019"	"2019"	"Tennessee"	"47"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"Texas"	"48"	"Female"	"F"	"< 1 year"	"1"	942	184764	509.8
	"2019"	"2019"	"Texas"	"48"	"Female"	"F"	"1-4 years"	"1-4"	190	790503	24.0
	"2019"	"2019"	"Texas"	"48"	"Female"	"F"	"5-9 years"	"5-9"	100	1010859	9.9
	"2019"	"2019"	"Texas"	"48"	"Female"	"F"	"10-14 years"	"10-14"	136	1029711	13.2
	"2019"	"2019"	"Texas"	"48"	"Female"	"F"	"15-19 years"	"15-19"	287	1004804	28.6
	"2019"	"2019"	"Texas"	"48"	"Female"	"F"	"20-24 years"	"20-24"	459	972342	47.2
	"2019"	"2019"	"Texas"	"48"	"Female"	"F"	"25-29 years"	"25-29"	579	1061442	54.5
	"2019"	"2019"	"Texas"	"48"	"Female"	"F"	"30-34 years"	"30-34"	748	1035196	72.3
	"2019"	"2019"	"Texas"	"48"	"Female"	"F"	"35-39 years"	"35-39"	1100	1024702	107.3
	"2019"	"2019"	"Texas"	"48"	"Female"	"F"	"40-44 years"	"40-44"	1407	938809	149.9
	"2019"	"2019"	"Texas"	"48"	"Female"	"F"	"45-49 years"	"45-49"	2133	934150	228.3
	"2019"	"2019"	"Texas"	"48"	"Female"	"F"	"50-54 years"	"50-54"	2957	857158	345.0
	"2019"	"2019"	"Texas"	"48"	"Female"	"F"	"55-59 years"	"55-59"	4722	878614	537.4
	"2019"	"2019"	"Texas"	"48"	"Female"	"F"	"60-64 years "	"60-64"	6606	805063	820.6
	"2019"	"2019"	"Texas"	"48"	"Female"	"F"	"65-69 years"	"65-69"	7969	670175	1189.1
	"2019"	"2019"	"Texas"	"48"	"Female"	"F"	"70-74 years"	"70-74"	9679	527882	1833.6
	"2019"	"2019"	"Texas"	"48"	"Female"	"F"	"75-79 years"	"75-79"	10966	364846	3005.7
	"2019"	"2019"	"Texas"	"48"	"Female"	"F"	"80-84 years"	"80-84"	12393	243255	5094.7
	"2019"	"2019"	"Texas"	"48"	"Female"	"F"	"85-89 years"	"85-89"	13750	Not Applicable	Not Applicable
	"2019"	"2019"	"Texas"	"48"	"Female"	"F"	"90-94 years"	"90-94"	11832	Not Applicable	Not Applicable
	"2019"	"2019"	"Texas"	"48"	"Female"	"F"	"95-99 years"	"95-99"	5601	Not Applicable	Not Applicable
	"2019"	"2019"	"Texas"	"48"	"Female"	"F"	"100+ years"	"100+"	1306	Not Applicable	Not Applicable
